theta(degree),Height(m),v0(m/s),t(s),x(m),label,label2
46,1.8,13,2.071,18.702,,
38,1.8,13,1.818,18.629,,
47,1.8,13,2.1,18.623,,
37,1.8,13,1.785,18.532,,
48,1.8,13,2.129,18.524,,
36,1.8,13,1.751,18.421,,
49,1.8,13,2.158,18.405,,
35,1.8,13,1.717,18.29,,
50,1.8,13,2.186,18.267,,
34,1.8,13,1.683,18.144,,
33,1.8,13,1.649,17.979,,
32,1.8,13,1.614,17.799,,
31,1.8,13,1.579,17.601,,
30,1.8,13,1.544,17.388,,
42,1.8,12,1.823,16.257,,
43,1.8,12,1.852,16.254,,
41,1.8,12,1.794,16.247,,
44,1.8,12,1.88,16.228,,
40,1.8,12,1.765,16.225,,
45,1.8,12,1.908,16.19,,
39,1.8,12,1.735,16.18,,
46,1.8,12,1.935,16.134,,
38,1.8,12,1.705,16.123,,
47,1.8,12,1.962,16.061,,
37,1.8,12,1.674,16.048,,
48,1.8,12,1.989,15.971,,
36,1.8,12,1.644,15.96,,
49,1.8,12,2.015,15.864,,
35,1.8,12,1.613,15.856,,
50,1.8,12,2.041,15.743,,
34,1.8,12,1.582,15.738,,
33,1.8,12,1.55,15.604,,
32,1.8,12,1.519,15.458,,
31,1.8,12,1.487,15.3,,
30,1.8,12,1.455,15.126,,
41,1.8,11,1.674,13.897,,
42,1.8,11,1.7,13.897,,
43,1.8,11,1.726,13.885,,
40,1.8,11,1.647,13.878,,
44,1.8,11,1.751,13.859,,
39,1.8,11,1.62,13.853,,
45,1.8,11,1.776,13.818,,
38,1.8,11,1.593,13.808,,
46,1.8,11,1.801,13.766,,
37,1.8,11,1.566,13.757,,
47,1.8,11,1.826,13.699,,
36,1.8,11,1.538,13.687,,
48,1.8,11,1.85,13.617,,
35,1.8,11,1.51,13.611,,
34,1.8,11,1.482,13.52,,
49,1.8,11,1.873,13.52,,
33,1.8,11,1.454,13.414,,
50,1.8,11,1.897,13.413,,
32,1.8,11,1.425,13.298,,
31,1.8,11,1.397,13.172,,
30,1.8,11,1.368,13.037,,
41,1.8,10,1.555,11.736,,
40,1.8,10,1.531,11.732,,
42,1.8,10,1.578,11.731,,
43,1.8,10,1.602,11.716,,
39,1.8,10,1.507,11.715,,
38,1.8,10,1.483,11.69,,
44,1.8,10,1.624,11.686,,
37,1.8,10,1.459,11.652,,
45,1.8,10,1.647,11.65,,
36,1.8,10,1.434,11.601,,
46,1.8,10,1.669,11.597,,
35,1.8,10,1.409,11.546,,
47,1.8,10,1.691,11.536,,
34,1.8,10,1.384,11.478,,
48,1.8,10,1.713,11.462,,
33,1.8,10,1.359,11.398,,
49,1.8,10,1.734,11.376,,
32,1.8,10,1.333,11.309,,
50,1.8,10,1.755,11.281,,
31,1.8,10,1.308,11.216,,
30,1.8,10,1.282,11.107,,
40,1.8,9,1.418,9.776,,
41,1.8,9,1.439,9.774,,
39,1.8,9,1.397,9.771,,
42,1.8,9,1.459,9.762,,
38,1.8,9,1.375,9.755,,
43,1.8,9,1.48,9.742,,
37,1.8,9,1.354,9.732,,
44,1.8,9,1.5,9.711,,
36,1.8,9,1.332,9.698,,
45,1.8,9,1.52,9.673,,
35,1.8,9,1.31,9.661,,
46,1.8,9,1.539,9.625,,
34,1.8,9,1.288,9.614,,
47,1.8,9,1.559,9.569,,
33,1.8,9,1.266,9.556,,
48,1.8,9,1.578,9.503,,
32,1.8,9,1.244,9.495,,
49,1.8,9,1.597,9.43,,
31,1.8,9,1.221,9.423,,
50,1.8,9,1.615,9.346,,
30,1.8,9,1.199,9.345,,
